DATE,NATIONAL_MA_ENROLLED
2023-01-01,30780442
2023-02-01,31464241
2023-03-01,31733915
2023-04-01,31843033
2023-05-01,31965090
2023-06-01,32068533
2023-07-01,32178611
2023-08-01,32302893
2023-09-01,32403129
2023-10-01,32518393
2023-11-01,32625640
2023-12-01,32514735
2024-01-01,33476930
2024-02-01,33668720
2024-03-01,33805563
2024-04-01,33899765
2024-05-01,34053017
2024-06-01,34103353
2024-07-01,34165602
2024-08-01,34254978
2024-09-01,34340926
2024-10-01,34419506
2024-11-01,34506935
2024-12-01,34520330
2025-01-01,34464394
2025-02-01,34944122
2025-03-01,35074366
2025-04-01,35174779
2025-05-01,35251966
2025-06-01,35370719
2025-07-01,35442290
2025-08-01,35539506
2025-09-01,35587333
2025-10-01,35638914
2025-11-01,35692488
2025-12-01,35701587
